cust_name,id,review_date,review_title,review_description,range_used,review_score
Patrick,22,2023-03-05,Parfait pour reprendre le…,Parfait pour reprendre le renforcement musculaire,Utilise ce produit depuis 1 semaine ou moins,5
Jean Paul,23,2023-01-05,"Je conseille ses altères,…","Je conseille ses altères, excellentes",Utilise ce produit depuis 2 à 8 semaines,5
Danièle,24,2023-04-30,Idéal pour débuter,C'est un très bon kit pour commencer la musculation à la maison,Utilise ce produit depuis Plus d'un an,5
Franck,25,2023-04-30,Fort utile et facilement…,"Fort utile et facilement transportable. Je peux m'en servir très régulièrement. Donc parfait et en plus, on peut facilement le compléter",Utilise ce produit depuis 7 à 12 mois,5
Sébastien,26,2023-04-30,Les fixations de barre…,"Les fixations de barre ont tendance à se dévisser seules, il faut penser de temps en temps à resserrer mais sinon c'est un bon produit",Utilise ce produit depuis 3 à 6 mois,5
Michel,27,2023-04-29,Acheté pour une remise…,"Acheté pour une remise en forme, j'aimerais avoir des conseils pour la meilleure utilisation de ce produit.",Utilise ce produit depuis 2 à 8 semaines,4
Manassé,28,2023-04-29,Un avis vraiment personnel…,Un avis vraiment personnel mais j'ai rendu le kit au magasin car il ne correspondait pas à mes attentes. Matériel de bonne qualité néanmoins.,Utilise ce produit depuis 1 semaine ou moins,5
Lou-Solenn,29,2023-04-28,Bon article,Il s'agit d'un très bon produit qui semble durable dans le temps. Je ne mets cependant pas la note maximale car la boîte n'a pas été bien pensée. Il n'y a rien qui permet de maintenir les poids ou les barres dans leur boîte donc j'ai dû mettre du scotch car impossible de refermer la boîte sans que les poids ou les barres ne tombent ...,Utilise ce produit depuis 1 semaine ou moins,4
Grégoire,30,2023-04-26,Produit facile d’utilisation et…,Produit facile d’utilisation et pratique à transporter dans sa mallette,Utilise ce produit depuis 2 à 8 semaines,5
alain,31,2023-04-24,rapport qualité / prix…,rapport qualité / prix correcte.,Utilise ce produit depuis 1 semaine ou moins,5
Yann,32,2023-04-24,Très bon set mais…,"Très bon set mais j’aurais aimé deux poids de 500gr.
Permettant une meilleure transition dans l’évolution pour ma fille",Utilise ce produit depuis 2 à 8 semaines,4
Philippe,33,2023-04-23,parfait. robuste,parfait. robuste,Utilise ce produit depuis 2 à 8 semaines,5
Marion,34,2023-04-22,"Produit conforme, parfait pour…","Produit conforme, parfait pour une utilisation à la maison.",Utilise ce produit depuis 2 à 8 semaines,5
Sonia,35,2023-04-22,Bon rapport qualité prix.,Bon rapport qualité prix.,Utilise ce produit depuis 2 à 8 semaines,5
Michel,36,2023-04-16,Kit parfait pour se…,"Kit parfait pour se refaire les muscles, plusieurs combinaisons possibles avec ce coffret. 
Attention, je pense que le système de charnières est fragile et risque de casser dans le temps surtout si ce dernier reste exposé aux rayons solaires ou lunaires.
C'est le seul point négatif que je peux reprocher. 
Les écrous à pas carré sont très bien, bien usinés et ne se déssèrent pas s'ils sont bien bloqués au montage .
Les barres sont très bien et ne glissent pas dans les mains.",Utilise ce produit depuis 2 à 8 semaines,5
Jérôme,37,2023-04-16,Impeccable :yes:,Impeccable 👍,Utilise ce produit depuis 2 à 8 semaines,5
Stephane,38,2023-04-15,La malette est pratique…,La malette est pratique mais le plastique n’est pas très endurant notamment pour maintenir les articles,Utilise ce produit depuis 2 à 8 semaines,4
Stephanie,39,2023-04-15,Top,Le bonheur de mon fils,Utilise ce produit depuis 3 à 6 mois,5
Sandrine,40,2023-04-13,bon rapport qualité prix,bon rapport qualité prix,Utilise ce produit depuis 2 à 8 semaines,4
Natacha,41,2023-12-04,Malette abimée = pas de fermeture,"Je viens de recevoir le produit : la mallette est abimée... Une des deux parties qui fait pression pour la fermer est manquant. Il était tout au fond du carton en morceaux. Je suis très déçue, au vu du prix et ayant acheté ce kit spécialement pour pouvoir ranger et transporter le matériel sans soucis... Là, la mallette ne reste pas fermée.",Utilise ce produit depuis 1 semaine ou moins,3
Pierre,42,2023-12-04,Bien pour débuter,"Ce kit est parfait pour débuter la musculation ou pour quelques exercices ponctuellement. Le système de serrage n'est toutefois pas optimal, le changement de poids nécessitant beaucoup de manipulations.",Utilise ce produit depuis 3 à 6 mois,4
Alain,43,2023-04-04,C'est exatement ce que…,C'est exatement ce que je désirer,Utilise ce produit depuis 1 semaine ou moins,5
Philippe,44,2023-04-04,"Bon produit, facile d'utilisation…","Bon produit, facile d'utilisation et pratique à ranger.",Utilise ce produit depuis 2 à 8 semaines,5
